Sample,Site,Position,Mineral,Si,Al,Fe,Mn,Mg,Ca,Na,K,P,S,F,Cu,Zn,Sn,W,O,Ti,Cl,As,Zr,Nb,Hf,Ta,Pb,U,N,Br,Sr,Re,B,Ir,Th,Ag,Bi,Ba,Cr,Co,Ni,La,Ce,Nd,Sc,V,Cd,Pt,Total,mineral estimate,mismatch percent
 01A05A,5,5, ,23.38,20.09,0.52,0.0,0.0,0.0,0.63,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,2.495815446876895
 01A05A,5,6, ,23.79,19.63,0.8,0.0,0.0,0.0,0.6,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,2.886954753793747
 01A05A,5,7, ,32.37,10.0,0.0,0.0,0.0,0.0,8.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,albite,0.2172419729115846
 01A05A,6,1, ,0.19,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,20.56,0.0,0.0,38.43,0.0,0.0,40.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,xenotime,24.999999999999996
 01A05A,6,2, ,32.42,9.94,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,albite,0.26207964454443705
 01A05A,6,3, ,23.18,20.09,0.55,0.0,0.0,0.0,0.56,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,2.329073930461398
 01A05A,6,4, ,19.75,17.35,0.75,0.26,0.0,4.29,0.44,7.97,3.26,0.0,0.0,0.0,0.0,0.0,0.0,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,5.344126113035966
 01A05A,6,5, ,31.18,9.51,0.0,0.0,0.0,0.0,0.0,12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,microcline,0.9632866721023113
 01A05A,7,1, ,46.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,quartz,0.003672803266435709
 01A05A,7,2, ,46.62,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,quartz,0.07540240543069762
